3-Pt Field Goal Attempts
2002-03 NBA 406 (8th)
2003-04 NBA 554 (2nd)
2004-05 NBA 433 (10th)
2007-08 NBA 524 (4th)
Career NBA 4392 (15th)
Career 4392 (15th)
