Player,Sim,1,2,3
Isaiah Canaan,,1.4,1.4,0.2
Anthony Carter,91.0,1.7,1.4,0.2
Jon Sundvold,89.3,1.5,1.2,0.2
Slick Leonard,88.5,1.5,1.3,0.4
Richie Regan,85.1,1.6,1.5,0.4
Bucky Bockhorn,82.9,1.3,1.1,0.3
Rasual Butler,82.9,1.7,1.6,0.1
Shane Larkin,81.7,1.7,1.4,-0.1
Nick Young,81.4,1.4,1.2,0.4
Mike Bratz,81.0,1.7,1.5,0.4
Steve Henson,80.8,1.2,1.1,0.2
