Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Glen Davis,,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,
Andrea Bargnani,89.7,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,
Derek Strong,88.8,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0.0,
David Benoit,88.7,4.6,3.9,2.3,2.0,1.6,1.6,0.7,,,,
Tony Campbell,87.9,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
Donald Royal,86.3,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,,
Jeff Cook,85.4,4.5,3.7,2.4,2.3,2.2,2.0,0.6,0.1,,,
Corey Brewer,84.6,5.2,3.9,3.1,2.3,1.2,1.1,1.0,0.3,-0.2,,
Stromile Swift,84.5,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1.0,-0.1,,
Jason Maxiell,84.4,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,
Earl Lloyd,84.3,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,,
