Defensive Rebound Pct
2002-03 NBA 24.3 (7th)
2005-06 NBA 24.9 (9th)
2008-09 NBA 32.0 (3rd)
2009-10 NBA 28.5 (6th)
Career NBA 24.2 (24th)
Career 24.2 (27th)
