Assists Per Game
2010-11 NBA 8.3 (7th)
2011-12 NBA 8.0 (7th)
2013-14 NBA 8.8 (2nd)
2014-15 NBA 10.0 (2nd)
2015-16 NBA 10.2 (3rd)
2016-17 NBA 10.3 (2nd)
Active 9.1 (2nd)
Career NBA 9.1 (7th)
Career 9.1 (7th)
