Steals Per Game
2013-14 NBA 1.8 (8th)
2015-16 NBA 1.9 (8th)
2016-17 NBA 2.1 (2nd)
Active 1.7 (5th)
Career NBA 1.7 (39th)
Career 1.7 (41st)
