Minutes Per Game
2014-15 NBA 35.9 (7th)
2015-16 NBA 36.2 (6th)
2016-17 NBA 36.3 (8th)
Active 36.0 (4th)
Career NBA 36.0 (42nd)
Career 36.0 (44th)
