Player,Sim,1,2,3,4,5,6,7,8,9,10
John Wall,,7.9,7.8,5.7,4.5,3.5,2.2,,,,
Ronnie Brewer,88.9,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0.0,,
George King,88.0,8.1,6.4,6.3,3.8,3.8,3.0,,,,
Glen Combs,87.0,8.7,8.6,6.7,5.1,2.7,2.5,0.0,,,
Scott Skiles,86.6,8.0,7.0,4.5,4.4,3.2,2.0,1.3,0.3,0.1,-0.2
George Thompson,85.8,7.7,6.7,6.5,5.6,2.7,1.8,,,,
Johnny Moore,85.5,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,
Micheal Ray Richardson,84.3,8.7,6.9,6.0,5.5,3.3,2.4,2.0,0.3,,
Frankie Brian,83.8,9.2,6.1,5.6,3.6,3.0,2.7,-0.2,,,
Isaiah Thomas,83.4,9.7,7.7,6.1,5.0,4.3,,,,,
Butch Beard,83.1,7.6,5.9,5.6,4.4,3.7,2.2,2.0,1.5,0.0,
