Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Kris Humphries,,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.6,1.5,0.7,0.2,-0.3,,
Phil Jackson,88.2,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5,,
Ben Poquette,87.7,5.4,5.0,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,,,,
Aaron Williams,87.3,5.2,5.0,4.8,3.7,3.4,1.7,1.6,1.1,1.1,0.7,0.4,0.3,-0.1,-0.1
Dorell Wright,86.1,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,,,
George Lynch,86.1,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7,0.0,,
Gerald Govan,85.5,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1.0,0.1,,,,,
Austin Croshere,85.4,5.4,4.1,4.1,3.4,3.2,2.6,2.0,1.3,1.1,0.3,0.1,0.0,,
Danny Ferry,85.4,5.6,5.5,4.1,3.9,3.6,2.7,2.3,1.7,1.7,1.3,1.0,1.0,0.3,
Billy Owens,83.6,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2,,,,
Ken Norman,83.6,5.2,4.8,4.0,4.0,3.2,2.9,1.9,1.1,0.6,-0.6,,,,
