Player,Sim,1,2,3,4,5,6,7,8,9
Brandon Rush,,3.5,2.6,2.5,2.0,0.9,0.0,-0.3,-0.4,
Geoff Huston,85.4,3.4,3.0,2.6,1.8,1.7,0.0,-0.3,-0.4,
Toney Douglas,85.0,4.2,2.5,2.4,2.2,0.9,0.2,-0.6,,
Bill Gabor,81.2,3.5,2.9,2.8,1.5,0.5,0.0,,,
George Dempsey,80.7,3.5,2.2,2.1,1.5,1.4,,,,
Bob Harrison,80.3,3.5,3.3,2.9,2.2,0.9,0.9,0.0,-0.4,
Sonny Hertzberg,80.3,4.0,2.5,2.3,1.4,0.7,,,,
Gary Neal,79.7,3.5,2.5,1.9,1.4,1.0,0.6,,,
Larry Wright,79.6,3.5,2.7,1.8,1.4,1.2,0.0,,,
Charlie Criss,79.4,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,
Charlie Bell,79.2,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,,
