Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Bobby Jackson,,5.5,5.4,3.5,3.1,3.1,3.0,2.5,2.2,1.4,1.2,1.2,-0.6,,
Gerald Henderson,88.2,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0,
Foots Walker,85.6,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,,,,
Ricky Sobers,85.2,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1,,,
Bimbo Coles,85.1,5.7,5.0,3.2,3.0,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0.0,0.0,-0.1
Eric Piatkowski,85.1,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2.0,1.2,0.9,0.1,0.1,0.0
John Long,84.7,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2.0,0.5,0.2,0.2,0.2,0.1
Greg Anthony,84.0,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,,,
Guy Rodgers,83.6,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,,
Jarrett Jack,83.4,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9,,,
Lucious Harris,83.3,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.3,1.1,0.8,0.6,0.4,,
