Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,57,594,84%,16%,,,,-1.5,+0.1,31,16,9,3,0,0,0,160,2,3,6
1 season,,BOS,NBA,,16,70,30%,70%,,,,+3.5,-0.6,5,2,2,5,0,0,0,18,1,0,1
1 season,,CLE,NBA,,13,314,98%,2%,,,,+0.1,+8.4,15,10,5,12,0,3,0,82,13,3,3
2 seasons,,MEM,NBA,,12,81,88%,12%,,,,-2.4,-1.7,3,2,2,1,0,1,0,13,4,0,1
1 season,,WAS,NBA,,11,73,100%,,,,,-8.7,-0.6,5,2,0,2,0,0,0,37,1,0,0
1 season,,LAC,NBA,,5,56,50%,50%,,,,-5.7,-13.2,3,0,0,1,0,0,0,10,1,0,1
