Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,48,11,632,74,152,.487,1,5,.200,73,147,.497,.490,13,17,.765,53,92,145,45,27,3,26,87,162
3 seasons,,DAL,NBA,,39,11,537,59,117,.504,1,5,.200,58,112,.518,.509,9,12,.750,47,77,124,36,21,3,23,72,128
2 seasons,,CHI,NBA,,9,0,95,15,35,.429,0,0,,15,35,.429,.429,4,5,.800,6,15,21,9,6,0,3,15,34
