Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jason Hart,,4.8,1.9,1.5,0.4,0.3,0.1,0.0,0.0,-0.3,,,,
Johnny Neumann,85.1,4.6,2.0,1.6,0.8,0.6,0.0,-0.1,,,,,,
Darrick Martin,80.5,4.6,1.9,1.3,0.7,0.5,0.4,0.2,0.1,0.1,0.1,0.0,-0.1,-0.2
Ed Fleming,80.2,5.0,2.0,1.2,1.0,0.8,,,,,,,,
Matt Maloney,79.3,5.3,2.2,1.5,0.7,0.1,-0.3,,,,,,,
Gene Vance,76.3,5.3,2.2,1.6,1.3,0.0,,,,,,,,
Troy Hudson,75.1,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0.0,-0.1,-0.2,,
Evan Fournier,75.1,5.7,2.1,1.4,1.0,,,,,,,,,
Michael Dickerson,74.0,5.5,2.2,1.8,0.1,-0.1,,,,,,,,
Jim Les,73.5,3.6,2.3,1.3,0.3,0.3,0.2,0.1,,,,,,
Pep Saul,73.4,4.2,2.8,1.5,0.8,0.6,,,,,,,,
