Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,12,150,100%,,,,,-12.2,+3.5,7,2,0,1,0,0,0,51,3,1,2
2 seasons,,MEM,NBA,,8,136,100%,,,,,-9.4,+7.3,6,2,0,0,0,0,0,48,3,1,2
1 season,,POR,NBA,,4,14,100%,,,,,-39.2,-33.5,1,0,0,1,0,0,0,3,0,0,0
