Player,Sim,1,2,3,4,5,6,7,8,9
Joel Anthony,,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.2
Duane Causwell,89.0,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.5,0.0
Adonal Foyle,86.6,4.0,3.4,2.8,1.9,1.2,1.1,1.1,0.7,-0.1
Vitaly Potapenko,86.3,3.4,3.1,2.5,2.2,1.5,1.1,1.0,0.5,0.2
Luc Longley,84.6,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2
Hank Finkel,84.5,3.4,3.4,2.3,1.2,1.0,0.9,0.9,0.4,0.0
Bill Wennington,83.8,3.5,2.8,2.3,2.1,1.3,1.2,0.9,0.5,0.4
Leon Douglas,83.5,3.6,3.2,3.1,2.1,2.1,1.0,0.0,,
Nat Clifton,80.3,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,
Jim Barnes,80.0,3.4,2.9,2.4,2.1,2.1,1.1,0.3,,
Mike Brown,79.5,3.7,3.7,2.4,1.5,1.5,1.4,1.0,0.7,-0.4
