Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Joel Anthony,,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.2,,,
Duane Causwell,87.6,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0.0,0.0,
Vitaly Potapenko,85.4,3.4,3.1,2.5,2.2,1.5,1.1,1.0,0.5,0.2,0.1,-0.1,
Luc Longley,84.6,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0.0,,
Hank Finkel,84.5,3.4,3.4,2.3,1.2,1.0,0.9,0.9,0.4,0.0,,,
Leon Douglas,83.5,3.6,3.2,3.1,2.1,2.1,1.0,0.0,,,,,
Nat Clifton,80.3,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,,,,
Mike Brown,80.1,3.7,3.7,2.4,1.5,1.5,1.4,1.0,0.7,0.2,0.1,-0.4,
Jim Barnes,80.0,3.4,2.9,2.4,2.1,2.1,1.1,0.3,,,,,
Adonal Foyle,79.1,4.0,3.4,2.8,1.9,1.3,1.2,1.1,1.1,1.0,0.7,0.3,-0.1
Chris Mihm,78.9,4.0,3.6,2.9,1.3,0.9,0.7,0.1,0.0,,,,
