Player,Sim,1,2,3,4,5
John Jenkins,,1.7,0.9,0.2,-0.1,
Mike Flynn,91.1,1.7,0.8,0.3,,
Lloyd Daniels,81.9,1.8,1.1,0.2,0.1,0.0
Ollie Mack,80.1,1.6,1.0,-0.1,,
Tracy Jackson,79.3,1.7,0.7,0.0,,
Richie Frahm,77.4,1.5,1.0,0.5,-0.2,
Alexey Shved,74.9,2.2,0.8,0.2,,
Jordan Hamilton,74.5,1.6,0.8,0.3,0.2,0.1
Win Wilfong,72.0,2.1,0.6,0.2,-0.3,
Jerry Eaves,71.7,2.0,0.7,0.0,-0.1,
Robert Hawkins,71.0,1.9,0.6,0.3,0.1,
