Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LaMarcus Aldridge,,11.1,10.1,9.5,8.8,8.6,7.5,7.2,7.0,6.2,3.4,,,,,
James Worthy,92.6,10.6,9.7,9.5,9.3,9.0,7.9,7.5,6.5,5.1,3.1,3.0,0.1,,,
Billy Cunningham,92.3,11.9,10.3,10.0,9.0,8.3,6.8,6.4,6.1,5.0,3.5,1.2,,,,
Harry Gallatin,92.0,11.8,11.3,8.9,8.3,8.1,7.8,7.6,6.1,5.6,2.8,,,,,
Bob Dandridge,90.2,9.5,9.1,9.0,8.7,8.4,8.1,7.0,6.8,6.0,5.4,1.7,0.5,0.0,,
Jack Twyman,89.3,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8,,,,
Glen Rice,89.0,10.8,10.2,10.0,9.3,9.0,8.3,7.9,6.3,5.7,4.4,3.3,2.2,1.4,0.0,-0.1
Lou Hudson,88.5,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8,,
Anthony Mason,88.0,11.6,11.4,11.3,9.3,8.9,8.6,7.4,6.4,5.6,4.9,3.1,0.1,-0.1,,
Paul Millsap,87.9,10.1,8.3,7.8,7.7,7.7,7.6,7.2,6.7,5.2,4.7,,,,,
George McGinnis,87.7,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4,,,,
