Player,Sim,1,2,3,4,5,6,7,8,9,10
LaMarcus Aldridge,,11.1,10.1,9.5,8.8,8.6,7.5,7.2,7.0,6.2,3.4
James Worthy,94.8,10.6,9.7,9.5,9.3,9.0,7.9,7.5,6.5,5.1,3.1
Billy Cunningham,93.2,11.9,10.3,10.0,9.0,8.3,6.8,6.4,6.1,5.0,3.5
Bobby Jones,93.1,11.0,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6.0
Rasheed Wallace,92.8,11.0,9.7,9.3,8.5,7.6,7.1,6.4,6.2,5.0,2.3
Buck Williams,92.5,11.4,8.9,8.7,8.5,7.9,7.7,7.6,7.3,6.8,5.2
A.C. Green,92.4,9.4,9.3,8.8,8.6,7.9,7.7,7.6,6.7,6.1,3.3
Terry Cummings,92.1,10.7,8.8,8.7,8.7,7.7,7.5,7.4,6.5,5.6,5.2
Harry Gallatin,92.0,11.8,11.3,8.9,8.3,8.1,7.8,7.6,6.1,5.6,2.8
Bob Dandridge,91.8,9.5,9.1,9.0,8.7,8.4,8.1,7.0,6.8,6.0,5.4
Otis Thorpe,91.8,10.4,9.8,9.0,8.9,8.7,8.5,8.1,6.0,4.0,3.8
