2-Pt Field Goals
2008-09 NBA 594 (8th)
2010-11 NBA 703 (2nd)
2011-12 NBA 481 (7th)
2012-13 NBA 636 (2nd)
2013-14 NBA 649 (5th)
2014-15 NBA 622 (3rd)
2015-16 NBA 536 (8th)
Career NBA 5885 (97th)
