Points Per Game
2011-12 NBA 21.7 (7th)
2012-13 NBA 21.1 (9th)
2013-14 NBA 23.2 (8th)
2014-15 NBA 23.4 (7th)
Career NBA 19.2 (72nd)
Career 19.2 (78th)
