Defensive Box Plus/Minus
2006-07 NBA 3.2 (7th)
2007-08 NBA 4.3 (5th)
2008-09 NBA 4.1 (2nd)
2012-13 NBA 2.9 (9th)
Active 2.8 (6th)
Career NBA 2.8 (25th)
Career 2.8 (28th)
