Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jason Smith,,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7,,,,,
Damien Wilkins,86.4,2.8,1.9,1.9,1.7,1.5,1.0,1.0,0.4,0.0,,,,
Pete Chilcutt,83.1,2.1,2.0,1.5,1.4,1.1,1.0,0.7,0.6,0.3,,,,
Ryan Bowen,81.2,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,,,
Steve Kuberski,81.2,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0,,,,
Jeff Grayer,77.5,1.9,1.8,1.5,1.5,1.5,0.4,0.3,0.2,-0.1,,,,
Bill Willoughby,77.5,3.0,2.6,1.8,1.5,1.2,1.2,1.1,0.9,,,,,
Earl Cureton,76.9,2.7,2.6,2.1,2.0,1.5,1.2,1.0,0.8,0.7,0.0,0.0,-0.1,
Robert Traylor,76.6,2.5,2.5,2.4,1.9,1.8,1.2,1.0,,,,,,
Joe Bryant,75.5,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0.0,,,,,
Tony Massenburg,74.7,2.8,2.2,1.8,1.7,1.5,1.3,1.1,1.0,0.9,0.7,0.4,0.2,-0.1
