Assists Per Game
2009-10 NBA 8.0 (8th)
2010-11 NBA 8.2 (9th)
2012-13 NBA 7.4 (7th)
2014-15 NBA 8.6 (4th)
2015-16 NBA 10.4 (2nd)
2016-17 NBA 10.3 (3rd)
Active 7.8 (5th)
Career NBA 7.8 (16th)
Career 7.8 (16th)
