Field Goals Missed
2010-11 NBA 776 (6th)
2011-12 NBA 688 (2nd)
2012-13 NBA 862 (1st)
2014-15 NBA 844 (1st)
2015-16 NBA 788 (7th)
2016-17 NBA 701 (1st)
