Player,Sim,1,2,3,4,5,6,7,8
Russell Westbrook,,14.0,11.6,10.6,9.4,7.9,6.1,5.2,1.9
Tim Hardaway,92.6,12.9,11.7,9.9,9.2,7.5,7.3,5.1,3.3
Sam Jones,91.2,12.8,9.6,9.6,8.9,8.1,5.9,5.3,2.1
Vince Carter,91.1,12.9,11.8,9.4,9.3,7.0,6.0,5.0,4.2
Terry Porter,90.4,13.0,11.7,10.6,9.8,9.2,8.8,6.8,2.3
Kobe Bryant,90.2,14.9,12.7,11.3,10.7,10.6,6.3,5.2,1.8
David Thompson,89.9,12.7,12.4,10.7,9.5,6.4,5.4,3.0,2.0
Kevin Johnson,89.5,12.7,12.2,11.6,10.0,8.7,5.1,4.8,4.0
Ray Allen,88.1,13.7,10.1,9.1,8.9,7.0,6.9,5.2,4.9
Deron Williams,86.9,11.3,10.9,10.3,8.4,7.3,7.2,4.1,2.8
Manu Ginobili,85.5,11.1,11.0,10.6,9.7,9.1,8.8,5.0,4.2
