Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22,OKC,NBA,PG,1,0,14:08,6,12,.500,0,1,.000,0,2,.000,3,5,2,0,0,0,1,12
2011-12,23,OKC,NBA,PG,1,0,27:31,10,17,.588,1,4,.250,0,2,.000,5,5,2,2,0,1,3,21
2012-13,24,OKC,NBA,PG,1,0,18:06,7,13,.538,0,3,.000,0,0,,2,4,3,1,0,2,1,14
2014-15,26,OKC,NBA,PG,1,0,25:33,16,28,.571,5,9,.556,4,4,1.000,3,5,1,3,0,1,0,41
2015-16,27,OKC,NBA,PG,1,1,22:11,12,23,.522,7,17,.412,0,0,,3,8,5,5,0,3,1,31
2016-17,28,OKC,,PG,,0,,,,,,,,,,,,,,,,,,
