Value Over Replacement Player
2010-11 NBA 5.0 (7th)
2012-13 NBA 5.1 (8th)
2014-15 NBA 7.6 (3rd)
2015-16 NBA 8.3 (2nd)
2016-17 NBA 7.2 (1st)
Active 43.3 (10th)
Career NBA 43.3 (42nd)
Career 43.3 (44th)
