Field Goal Attempts
2010-11 NBA 1390 (9th)
2011-12 NBA 1266 (3rd)
2012-13 NBA 1535 (2nd)
2014-15 NBA 1471 (1st)
2015-16 NBA 1444 (5th)
2016-17 NBA 1207 (1st)
