Steals Per Game
2010-11 NBA 1.9 (4th)
2011-12 NBA 1.7 (8th)
2012-13 NBA 1.8 (9th)
2014-15 NBA 2.1 (2nd)
2015-16 NBA 2.0 (5th)
Active 1.7 (6th)
Career NBA 1.7 (41st)
Career 1.7 (43rd)
