Offensive Box Plus/Minus
2010-11 NBA 4.4 (8th)
2012-13 NBA 4.7 (9th)
2014-15 NBA 8.8 (2nd)
2015-16 NBA 7.6 (2nd)
2016-17 NBA 9.7 (2nd)
Active 4.8 (5th)
Career NBA 4.8 (8th)
Career 4.8 (8th)
