Player Efficiency Rating
2010-11 NBA 23.6 (8th)
2011-12 NBA 22.9 (9th)
2012-13 NBA 23.9 (8th)
2014-15 NBA 29.1 (2nd)
2015-16 NBA 27.6 (3rd)
2016-17 NBA 29.4 (1st)
Active 23.4 (5th)
Career NBA 23.4 (18th)
Career 23.4 (19th)
