Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Russell Westbrook,,14.0,11.6,10.6,9.4,7.9,6.1,5.2,1.9,,,,,,
David Thompson,88.8,12.7,12.4,10.7,9.5,6.4,5.4,3.0,2.0,1.0,,,,,
Larry Jones,84.1,11.8,10.9,10.6,8.8,8.1,3.7,2.9,-0.3,,,,,,
James Silas,83.5,13.1,9.8,7.9,7.4,7.0,5.7,5.5,2.4,0.7,0.6,,,,
Tiny Archibald,83.0,14.2,12.9,11.2,8.9,8.0,6.9,5.2,5.1,2.9,2.8,2.3,1.6,1.4,
Jimmy Jones,81.6,16.1,10.5,10.3,9.3,9.3,8.8,8.3,4.1,2.2,-0.1,,,,
Bobby Wanzer,81.5,11.4,10.5,9.1,7.9,7.0,6.9,5.4,4.8,1.0,,,,,
Anfernee Hardaway,81.0,14.4,10.7,8.1,7.8,7.1,5.0,2.9,2.3,2.0,1.1,0.4,0.2,0.2,-0.2
James Harden,80.3,16.4,13.3,12.8,12.8,9.3,7.1,4.5,,,,,,,
Mark Price,79.6,11.3,10.1,10.0,9.8,9.1,7.8,4.2,4.0,2.0,1.7,1.1,0.0,,
Mookie Blaylock,78.5,12.5,10.2,9.4,9.0,7.0,5.6,4.9,4.7,3.5,3.3,2.1,-0.1,-0.3,
