Points Per Game
2011-12 NBA 23.6 (5th)
2012-13 NBA 23.2 (6th)
2014-15 NBA 28.1 (1st)
2015-16 NBA 23.5 (8th)
2016-17 NBA 30.8 (1st)
Active 22.2 (6th)
Career NBA 22.2 (26th)
Career 22.2 (29th)
