Free Throw Attempts
2010-11 NBA 631 (7th)
2011-12 NBA 413 (7th)
2012-13 NBA 575 (5th)
2014-15 NBA 654 (2nd)
2015-16 NBA 573 (6th)
2016-17 NBA 542 (2nd)
