Player,Sim,1,2,3,4,5,6,7,8,9,10
Tyreke Evans,,5.4,4.6,4.4,3.1,2.7,1.6,1.4,,,
Vincent Askew,90.3,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,
Quinn Buckner,90.1,5.4,4.6,4.4,3.2,2.0,1.6,1.5,1.3,0.5,0.2
Jodie Meeks,88.2,5.1,4.5,4.1,3.1,3.0,0.9,0.1,,,
Jrue Holiday,87.9,5.7,4.2,3.4,3.4,3.3,1.5,1.2,,,
Eric Gordon,87.0,5.3,4.6,3.2,2.9,2.5,2.1,1.1,0.7,,
Chris Duhon,86.6,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1.0,0.2,
Darwin Cook,86.1,6.0,3.9,3.6,3.0,2.7,1.6,1.2,0.9,,
Jerry Sichting,86.0,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
Martell Webster,85.2,6.3,5.0,4.4,3.5,1.8,1.5,1.3,0.9,0.0,0.0
John Williamson,85.2,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3,,
