Player,Sim,1,2,3,4,5,6,7
Tyreke Evans,,5.4,4.6,4.4,3.1,2.7,1.6,1.4
Quinn Buckner,96.0,5.4,4.6,4.4,3.2,2.0,1.6,1.5
Sherman Douglas,92.6,5.4,4.4,4.2,3.3,2.7,2.6,1.0
Spud Webb,92.0,5.4,4.5,4.1,3.5,2.3,2.2,1.2
Jason Williams,91.8,5.4,4.7,4.3,3.8,2.1,1.5,0.9
Ricky Sobers,90.3,5.3,4.8,4.3,3.8,2.8,2.4,1.0
Ramon Sessions,90.3,5.6,4.4,4.3,3.7,2.9,1.1,0.7
Larry Steele,89.9,5.7,5.2,4.8,3.6,3.0,1.9,1.6
Chucky Atkins,89.3,5.1,4.5,3.6,2.8,2.7,2.4,1.5
Aaron McKie,89.2,5.9,5.3,4.3,3.5,2.0,1.6,1.4
Darwin Cook,88.9,6.0,3.9,3.6,3.0,2.7,1.6,1.2
