Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Ty Lawson,,7.4,7.0,6.9,6.7,6.3,3.7,0.9,,,,,
Kerry Kittles,86.5,8.4,7.7,7.7,7.6,6.9,4.7,1.8,0.2,,,,
Pete Maravich,83.7,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,,
Jeff Teague,83.0,7.7,6.1,6.0,5.9,5.2,1.7,0.6,,,,,
Don Chaney,81.0,8.7,6.3,5.9,5.8,5.1,2.9,0.8,0.6,0.4,0.3,-0.1,-0.5
B.J. Armstrong,80.8,8.1,7.5,7.5,7.0,4.6,4.1,2.2,1.7,1.3,0.7,0.4,
Charlie Scott,80.4,7.4,7.2,6.5,6.4,4.7,3.9,2.5,2.4,1.9,-1.4,,
Phil Chenier,80.2,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0.0,0.0,-0.1,,
Reggie Lewis,79.7,9.1,8.3,7.5,6.9,6.7,0.4,,,,,,
Jerry Sloan,79.4,7.2,7.0,6.8,6.5,6.4,6.0,2.9,2.6,1.9,1.4,0.9,
Wesley Matthews,79.0,8.2,7.2,6.2,4.8,4.7,4.6,3.7,,,,,
