Player,Sim,1,2,3,4
Jonas Valanciunas,,8.2,6.9,6.7,3.9
Caldwell Jones,93.2,8.1,7.6,6.2,4.4
James Edwards,92.4,7.1,7.0,6.7,4.5
Alvan Adams,91.3,7.6,7.2,6.3,4.9
Tom Owens,90.8,8.3,8.0,6.9,2.9
Jim Eakins,90.3,7.4,7.4,6.6,2.9
Byron Beck,89.2,8.1,6.4,5.7,5.3
Joakim Noah,89.2,6.7,6.4,6.2,3.8
Billy Paultz,88.8,8.9,7.0,5.6,5.0
Rich Kelley,88.3,8.6,6.4,4.8,4.3
Jamaal Magloire,87.9,7.6,6.7,5.7,2.6
