Player,Sim,1,2,3,4,5,6,7,8
Jonas Valanciunas,,8.2,6.9,6.7,3.9,,,,
Andre Drummond,86.4,9.9,7.7,7.4,4.5,,,,
Mike Lewis,81.7,7.9,7.5,4.0,3.8,1.1,0.0,,
Bob Rule,81.7,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0
Steve Stipanovich,79.7,9.0,6.9,5.9,5.0,3.6,,,
Don Otten,78.4,8.5,5.8,4.9,1.7,,,,
Nikola Vucevic,75.9,7.0,5.7,5.2,4.4,1.8,,,
George Ratkovicz,74.7,9.3,6.0,5.4,5.2,2.8,-0.1,,
DeMarcus Cousins,74.3,7.9,6.0,5.7,4.4,4.2,1.1,,
Neal Walk,74.0,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2
Gene Moore,71.9,6.8,5.7,5.0,4.5,1.9,0.8,0.0,
