Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Kyle Korver,,7.5,6.6,6.4,5.9,5.3,5.1,4.6,4.6,4.2,4.1,3.7,2.6,1.0
David Wesley,91.2,7.6,7.0,6.3,6.1,6.1,5.8,5.2,4.8,3.6,2.8,2.6,2.6,0.6
Reggie Theus,88.9,9.2,6.9,6.5,6.4,6.2,5.9,5.3,4.7,4.6,3.7,3.2,2.5,1.8
Nick Van Exel,88.2,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4.0,3.4,2.2,1.6,1.4,1.2
Damon Stoudamire,88.0,7.6,6.7,6.6,6.1,5.9,5.7,4.7,4.3,3.6,1.7,1.6,1.1,-0.1
Fred Brown,87.2,8.8,7.9,6.7,6.4,6.1,5.2,5.2,4.9,3.9,3.6,2.8,2.6,-0.9
Michael Cooper,87.0,6.5,6.1,5.8,5.2,5.0,5.0,4.6,4.4,4.0,3.1,2.7,0.0,
Jeff Malone,87.0,6.6,6.1,5.7,5.6,5.6,5.2,5.1,4.2,4.1,3.6,1.3,1.3,-0.2
Jason Richardson,86.7,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3.0,2.9,2.8,1.4,0.4
Tyrone Corbin,86.7,6.8,6.7,5.6,5.5,5.4,5.4,5.0,4.4,3.0,2.5,2.1,1.2,0.1
Muggsy Bogues,86.4,8.6,6.7,6.4,5.9,5.0,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0.0
