3-Pt Field Goals
2004-05 NBA 226 (1st)
2005-06 NBA 184 (5th)
2011-12 NBA 118 (10th)
2012-13 NBA 189 (4th)
2014-15 NBA 221 (3rd)
Active 1978 (5th)
Career NBA 1978 (8th)
Career 1978 (8th)
