True Shooting Pct
2011-12 NBA .600 (10th)
2012-13 NBA .637 (4th)
2013-14 NBA .653 (1st)
2014-15 NBA .699 (1st)
Active .597 (7th)
Career NBA .597 (22nd)
Career .597 (23rd)
