3-Pt Field Goal Pct
2006-07 NBA .430 (9th)
2009-10 NBA .536 (1st)
2011-12 NBA .435 (10th)
2012-13 NBA .457 (2nd)
2013-14 NBA .472 (1st)
2014-15 NBA .492 (1st)
Active .429 (3rd)
Career NBA .429 (8th)
Career .429 (8th)
