3-Pt Field Goal Attempts
2004-05 NBA 558 (3rd)
2005-06 NBA 438 (8th)
2014-15 NBA 449 (8th)
Active 4615 (6th)
Career NBA 4615 (12th)
Career 4615 (12th)
