Player,Sim,1,2,3,4,5,6,7
Jodie Meeks,,5.1,4.5,4.1,3.1,3.0,0.9,0.1
Matt Guokas,90.8,5.2,4.7,4.2,2.5,2.3,1.2,0.5
Ramon Sessions,90.7,5.6,4.4,4.3,3.7,2.9,1.1,0.7
Kevin Grevey,90.2,5.8,4.4,3.6,3.4,3.3,0.7,0.1
Jeremy Lin,89.8,5.4,4.4,3.5,2.7,2.7,0.5,
Jerry Sichting,89.0,5.2,4.2,3.5,2.7,2.3,1.1,0.3
Allen Leavell,88.2,4.8,4.3,4.0,3.8,3.0,1.9,0.6
Tyreke Evans,88.2,5.4,4.6,4.4,3.1,2.7,1.6,1.4
Jamal Crawford,88.2,4.5,4.2,4.1,3.1,2.8,0.6,-0.9
John Roche,88.1,4.8,4.2,4.1,2.5,2.3,0.8,0.5
Eric Gordon,87.8,5.3,4.6,3.2,2.9,2.5,1.1,0.7
