Player,Sim,1,2,3,4,5,6,7,8,9,10
Jodie Meeks,,5.1,4.5,4.1,3.1,3.0,0.9,0.1,,,
Jeremy Lin,89.8,5.4,4.4,3.5,2.7,2.7,0.5,,,,
Tyreke Evans,88.2,5.4,4.6,4.4,3.1,2.7,1.6,1.4,,,
Vincent Askew,88.0,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,
John Roche,86.0,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,,
O.J. Mayo,84.8,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,,
Jrue Holiday,83.8,5.7,4.2,3.4,3.4,3.3,1.5,1.2,,,
Frank Selvy,83.3,5.5,4.1,3.6,2.4,2.3,0.6,0.0,-0.6,,
Jerry Sichting,82.5,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
John Williamson,82.5,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3,,
Ted McClain,81.1,7.0,4.2,4.1,2.7,2.0,0.8,0.5,-0.1,,
