Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,1001,950,33962,8.3,19.0,.436,2.3,6.1,.379,6.0,12.9,.463,3.6,4.5,.802,0.8,3.9,4.8,8.5,1.8,0.2,3.3,3.0,22.5,,108,108
7 seasons,,SAC,NBA,,476,473,16982,9.1,20.7,.439,2.3,6.2,.377,6.7,14.5,.465,4.8,5.9,.818,0.9,3.7,4.6,7.8,1.8,0.3,3.2,2.7,25.3,,109,108
4 seasons,,ATL,NBA,,248,247,7709,7.4,17.3,.427,3.3,8.3,.397,4.1,9.0,.453,2.0,2.5,.786,0.5,4.4,4.9,7.8,1.6,0.2,2.5,3.4,20.1,,111,110
3 seasons,,VAN,NBA,,214,214,8103,8.1,18.2,.445,1.3,3.7,.350,6.8,14.5,.470,3.0,4.0,.766,1.0,3.9,4.9,10.9,2.1,0.2,4.2,2.9,20.6,,104,109
1 season,,NYK,NBA,,39,4,557,3.2,11.5,.282,2.5,7.9,.318,0.7,3.6,.205,0.6,0.7,.750,0.5,5.0,5.5,7.4,1.9,0.3,1.8,4.2,9.5,,97,103
1 season,,MIA,NBA,,22,12,582,5.0,11.4,.437,3.6,8.0,.455,1.4,3.4,.395,0.9,1.5,.625,0.2,4.3,4.4,5.0,1.0,0.3,2.9,4.3,14.5,,108,107
1 season,,WAS,NBA,,2,0,29,1.8,15.9,.111,0.0,7.1,.000,1.8,8.8,.200,0.0,0.0,,0.0,5.3,5.3,14.1,1.8,0.0,1.8,5.3,3.5,,60,112
