3-Pt Field Goals
2005-06 NBA 192 (4th)
2006-07 NBA 173 (7th)
2008-09 NBA 167 (8th)
2010-11 NBA 153 (9th)
Career NBA 1517 (25th)
Career 1517 (25th)
