Defensive Rebound Pct
2003-04 NBA 26.8 (4th)
2006-07 NBA 29.9 (3rd)
2007-08 NBA 27.7 (6th)
2009-10 NBA 29.9 (4th)
2011-12 NBA 25.3 (10th)
2012-13 NBA 27.2 (7th)
Career NBA 26.6 (7th)
Career 26.6 (8th)
