Rebounds Per Game
2003-04 NBA 11.4 (5th)
2006-07 NBA 11.7 (4th)
2007-08 NBA 10.4 (8th)
2009-10 NBA 11.2 (5th)
2012-13 NBA 9.8 (10th)
Career NBA 9.5 (65th)
Career 9.5 (73rd)
