Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Carlos Boozer,,10.2,9.9,9.9,9.4,7.6,5.9,5.8,5.7,4.1,3.5,3.4,2.6,2.2,,
Lou Hudson,91.4,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8,,
Lamar Odom,91.2,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.7,2.2,0.7,0.3,
Zach Randolph,88.6,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,4.3,3.1,3.0,3.0,2.1,1.3,0.5
Chris Webber,88.5,11.0,10.7,9.3,8.6,8.3,7.8,6.9,4.4,4.0,3.6,3.4,3.4,1.9,1.1,0.1
Glen Rice,88.2,10.8,10.2,10.0,9.3,9.0,8.3,7.9,6.3,5.7,4.4,3.3,2.2,1.4,0.0,-0.1
Richard Jefferson,87.7,11.7,11.0,9.9,7.6,6.6,6.0,5.9,4.7,3.4,3.1,2.7,2.7,2.4,2.3,1.0
Don Nelson,87.5,8.8,8.7,8.3,7.5,7.4,6.1,5.9,5.8,5.4,3.3,2.6,2.3,2.1,0.4,
Billy Cunningham,87.2,11.9,10.3,10.0,9.0,8.3,6.8,6.4,6.1,5.0,3.5,1.2,,,,
David Lee,87.1,10.3,9.1,9.0,7.6,7.4,6.9,6.0,5.0,3.2,3.0,2.7,,,,
Larry Johnson,87.1,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,,,,,
