Field Goal Pct
2002-03 NBA .536 (3rd)
2003-04 NBA .523 (6th)
2004-05 NBA .521 (9th)
2006-07 NBA .561 (6th)
2007-08 NBA .547 (9th)
2009-10 NBA .562 (6th)
2011-12 NBA .532 (10th)
Career NBA .521 (52nd)
Career .521 (55th)
