Total Rebound Pct
2002-03 NBA 16.6 (10th)
2003-04 NBA 18.3 (7th)
2006-07 NBA 20.6 (3rd)
2009-10 NBA 19.4 (6th)
Career NBA 17.7 (24th)
Career 17.7 (27th)
