Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,362,11737,,1%,76%,23%,,+3.1,+1.1,253,192,129,300,42,64,24,2506,357,91,280
3 seasons,,HOU,NBA,,213,7345,,1%,81%,18%,,+3.7,+1.0,167,111,94,185,11,43,7,1641,208,55,191
2 seasons,,DAL,NBA,,127,3985,,,65%,35%,,+2.4,+1.7,83,74,34,102,27,20,16,786,139,35,79
1 season,,MEM,NBA,,22,407,,,90%,9%,,-1.8,-3.7,3,7,1,13,4,1,1,79,10,1,10
