Player,Sim,1,2,3,4,5,6,7,8,9,10
Chandler Parsons,,7.6,7.0,5.5,4.3,3.4,,,,,
Kenneth Faried,89.6,7.8,6.5,5.6,5.5,4.6,,,,,
Derrick Favors,86.0,8.3,7.1,5.1,4.4,3.0,2.9,,,,
Fred Schaus,85.8,8.5,8.4,6.8,4.0,3.7,,,,,
Gene Banks,85.1,7.9,6.2,5.6,4.3,3.6,3.5,,,,
Reggie Williams,83.9,6.6,5.9,5.8,4.8,3.3,0.4,0.3,0.1,0.0,-1.1
Tristan Thompson,83.8,8.7,6.8,5.7,5.2,1.1,,,,,
Ed Davis,83.7,6.7,6.3,5.4,4.0,3.9,2.6,,,,
Gordon Hayward,83.6,8.9,8.7,5.4,4.9,3.6,1.2,,,,
Trooper Washington,83.1,8.3,6.9,6.3,6.0,3.4,2.2,,,,
Julian Hammond,82.9,6.7,6.6,5.7,5.1,0.8,,,,,
