Season,Team,Lg,Salary
2013-14,Minnesota Timberwolves,NBA,"$1,887,120"
2014-15,Minnesota Timberwolves,NBA,"$1,971,960"
2015-16,Minnesota Timberwolves,NBA,"$2,056,920"
