Offensive Rebound Pct
2011-12 NBA 14.4 (2nd)
2012-13 NBA 13.2 (7th)
2014-15 NBA 14.5 (4th)
2015-16 NBA 13.5 (7th)
2016-17 NBA 14.0 (5th)
