Player,Sim,1,2,3,4,5,6
Tristan Thompson,,8.7,6.8,5.7,5.2,1.1,
Julian Hammond,89.0,6.7,6.6,5.7,5.1,0.8,
John Shumate,84.5,7.7,6.5,6.3,3.5,0.5,
Kenneth Faried,84.0,7.8,6.5,5.6,5.5,4.6,
Chandler Parsons,83.8,7.6,7.0,5.5,4.3,3.4,
Reggie King,83.2,8.3,6.2,4.8,3.4,1.6,0.5
Doug Moe,82.8,9.4,5.2,4.8,4.3,1.8,
Trooper Washington,81.5,8.3,6.9,6.3,6.0,3.4,2.2
Gordon Hayward,80.4,8.9,8.7,5.4,4.9,3.6,1.2
Fred Schaus,78.7,8.5,8.4,6.8,4.0,3.7,
Derrick Favors,78.6,8.3,7.1,5.1,4.4,3.0,2.9
