Player,Sim,1,2,3,4,5,6
Ed Davis,,6.7,6.3,5.4,4.0,3.9,2.6
Thurl Bailey,96.5,6.8,6.5,5.4,4.0,3.6,3.1
Junior Bridgeman,96.5,6.7,6.1,5.5,4.0,3.6,2.1
Keith Van Horn,94.8,6.5,6.3,5.5,4.8,3.7,2.8
Robert Horry,94.0,6.6,5.9,4.9,4.2,3.6,2.9
Mel Hutchins,93.1,6.9,5.8,4.4,3.9,3.8,2.8
Kenyon Martin,92.6,7.1,6.7,5.3,4.9,3.8,2.1
Carl Landry,92.5,7.7,6.2,5.9,4.1,3.7,2.9
Loy Vaught,92.3,6.3,5.5,5.5,4.2,4.1,2.2
Danilo Gallinari,91.5,7.2,6.1,5.6,3.9,3.9,1.0
Eddie Johnson,90.5,7.4,5.6,5.3,4.3,4.0,1.8
