Player,Sim,1,2,3,4,5,6,7,8,9,10
Ed Davis,,6.7,6.3,5.4,4.0,3.9,2.6,,,,
Mel Hutchins,92.2,6.9,5.8,4.4,3.9,3.8,2.8,0.3,,,
Gene Banks,90.0,7.9,6.2,5.6,4.3,3.6,3.5,,,,
Warren Davis,87.4,8.1,5.8,5.7,3.4,3.4,3.2,,,,
Ersan Ilyasova,86.6,6.7,6.4,5.8,4.4,4.0,3.8,1.6,1.0,,
Derrick Favors,85.6,8.3,7.1,5.1,4.4,3.0,2.9,,,,
Jay Vincent,84.9,6.5,6.0,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,
Danilo Gallinari,84.5,7.2,6.3,6.1,5.6,3.9,3.9,1.0,,,
Chandler Parsons,83.7,7.6,7.0,5.5,4.3,3.4,,,,,
M.L. Carr,83.1,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4
Sonny Parker,83.1,7.0,6.8,6.2,3.0,2.3,1.6,,,,
