Defensive Win Shares
2005-06 NBA 5.4 (7th)
2010-11 NBA 4.7 (9th)
2014-15 NBA 4.4 (5th)
Active 49.1 (5th)
Career NBA 49.1 (47th)
Career 49.1 (50th)
