Value Over Replacement Player
2008-09 NBA 5.3 (5th)
2009-10 NBA 4.5 (10th)
2010-11 NBA 5.6 (5th)
Active 53.2 (7th)
Career NBA 53.2 (26th)
Career 53.2 (28th)
